permutation_id,audio_order,block_1_audio_variant_id,block_2_audio_variant_id,block_3_audio_variant_id,block_4_audio_variant_id
perm_01,V01 V02 V03 V04,V01,V02,V03,V04
perm_02,V01 V02 V04 V03,V01,V02,V04,V03
perm_03,V01 V03 V02 V04,V01,V03,V02,V04
perm_04,V01 V03 V04 V02,V01,V03,V04,V02
perm_05,V01 V04 V02 V03,V01,V04,V02,V03
perm_06,V01 V04 V03 V02,V01,V04,V03,V02
perm_07,V02 V01 V03 V04,V02,V01,V03,V04
perm_08,V02 V01 V04 V03,V02,V01,V04,V03
perm_09,V02 V03 V01 V04,V02,V03,V01,V04
perm_10,V02 V03 V04 V01,V02,V03,V04,V01
perm_11,V02 V04 V01 V03,V02,V04,V01,V03
perm_12,V02 V04 V03 V01,V02,V04,V03,V01
perm_13,V03 V01 V02 V04,V03,V01,V02,V04
perm_14,V03 V01 V04 V02,V03,V01,V04,V02
perm_15,V03 V02 V01 V04,V03,V02,V01,V04
perm_16,V03 V02 V04 V01,V03,V02,V04,V01
perm_17,V03 V04 V01 V02,V03,V04,V01,V02
perm_18,V03 V04 V02 V01,V03,V04,V02,V01
perm_19,V04 V01 V02 V03,V04,V01,V02,V03
perm_20,V04 V01 V03 V02,V04,V01,V03,V02
perm_21,V04 V02 V01 V03,V04,V02,V01,V03
perm_22,V04 V02 V03 V01,V04,V02,V03,V01
perm_23,V04 V03 V01 V02,V04,V03,V01,V02
perm_24,V04 V03 V02 V01,V04,V03,V02,V01
