permutation_id,condition_order,block_1_vr_condition_id,block_2_vr_condition_id,block_3_vr_condition_id,block_4_vr_condition_id
perm_01,HC_HE LC_HE HC_LE LC_LE,HC_HE,LC_HE,HC_LE,LC_LE
perm_02,HC_HE LC_HE LC_LE HC_LE,HC_HE,LC_HE,LC_LE,HC_LE
perm_03,HC_HE HC_LE LC_HE LC_LE,HC_HE,HC_LE,LC_HE,LC_LE
perm_04,HC_HE HC_LE LC_LE LC_HE,HC_HE,HC_LE,LC_LE,LC_HE
perm_05,HC_HE LC_LE LC_HE HC_LE,HC_HE,LC_LE,LC_HE,HC_LE
perm_06,HC_HE LC_LE HC_LE LC_HE,HC_HE,LC_LE,HC_LE,LC_HE
perm_07,LC_HE HC_HE HC_LE LC_LE,LC_HE,HC_HE,HC_LE,LC_LE
perm_08,LC_HE HC_HE LC_LE HC_LE,LC_HE,HC_HE,LC_LE,HC_LE
perm_09,LC_HE HC_LE HC_HE LC_LE,LC_HE,HC_LE,HC_HE,LC_LE
perm_10,LC_HE HC_LE LC_LE HC_HE,LC_HE,HC_LE,LC_LE,HC_HE
perm_11,LC_HE LC_LE HC_HE HC_LE,LC_HE,LC_LE,HC_HE,HC_LE
perm_12,LC_HE LC_LE HC_LE HC_HE,LC_HE,LC_LE,HC_LE,HC_HE
perm_13,HC_LE HC_HE LC_HE LC_LE,HC_LE,HC_HE,LC_HE,LC_LE
perm_14,HC_LE HC_HE LC_LE LC_HE,HC_LE,HC_HE,LC_LE,LC_HE
perm_15,HC_LE LC_HE HC_HE LC_LE,HC_LE,LC_HE,HC_HE,LC_LE
perm_16,HC_LE LC_HE LC_LE HC_HE,HC_LE,LC_HE,LC_LE,HC_HE
perm_17,HC_LE LC_LE HC_HE LC_HE,HC_LE,LC_LE,HC_HE,LC_HE
perm_18,HC_LE LC_LE LC_HE HC_HE,HC_LE,LC_LE,LC_HE,HC_HE
perm_19,LC_LE HC_HE LC_HE HC_LE,LC_LE,HC_HE,LC_HE,HC_LE
perm_20,LC_LE HC_HE HC_LE LC_HE,LC_LE,HC_HE,HC_LE,LC_HE
perm_21,LC_LE LC_HE HC_HE HC_LE,LC_LE,LC_HE,HC_HE,HC_LE
perm_22,LC_LE LC_HE HC_LE HC_HE,LC_LE,LC_HE,HC_LE,HC_HE
perm_23,LC_LE HC_LE HC_HE LC_HE,LC_LE,HC_LE,HC_HE,LC_HE
perm_24,LC_LE HC_LE LC_HE HC_HE,LC_LE,HC_LE,LC_HE,HC_HE
